식품명,칼로리,탄수화물,단백질,지방,섭취량
단호박,26,6.50,1.00,0.10,100g
달걀,147,0.77,12.58,9.94,100g
달걀,70,0.00,6.00,5.00,1 egg
달걀,201,0.88,13.63,15.31,100g
달걀말이,2133,173.56,94.66,117.45,1212g
달걀말이,1851,179.21,47.87,106.94,1179g
달걀말이,N/A,N/A,N/A,N/A,N/A
달걀볶음밥,1719,215.44,64.45,63.73,1023g
달걀볶음밥,1546,193.87,58.03,57.38,1023g
달걀볶음밥,1630,226.38,45.66,59.16,1080g
달걀비빔밥,147,0.77,12.58,9.94,100g
달걀비빔밥,901,102.95,44.57,35.63,412g
달걀비빔밥,115,2.58,7.85,7.97,89g
달걀샌드위치,230,26.73,10.24,8.75,98g
달걀샌드위치,233,17.76,10.69,13.30,100g
달걀샌드위치,240,27.66,10.74,9.15,113g
달걀찜,147,0.77,12.58,9.94,100g
달걀찜,107,1.27,7.47,7.83,68g
달걀찜,92,1.47,7.65,5.91,71g
달걀후라이,201,0.88,13.63,15.31,100g
달걀후라이,102,0.49,7.15,7.75,53g
달걀후라이,84,0.44,7.15,5.65,50g
닭가슴살,197,0.00,29.80,7.79,101g
닭가슴살,110,0.00,23.09,1.24,100g
닭가슴살,110,0.00,23.00,2.50,4 oz
닭가슴살구이,239,0.00,27.30,13.60,101g
닭가슴살구이,N/A,N/A,N/A,N/A,N/A
닭가슴살구이,120,0.00,26.00,1.50,4 oz
닭가슴살샐러드,197,0.00,29.80,7.79,101g
닭가슴살샐러드,110,0.00,23.00,2.50,4 oz
닭가슴살샐러드,247,0.00,25.06,15.49,101g
닭가슴살시저샐러드,197,0.00,29.80,7.79,101g
닭가슴살시저샐러드,110,0.00,23.09,1.24,100g
닭가슴살시저샐러드,110,0.00,23.00,2.50,4 oz
닭갈비,247,0.00,19.61,18.10,101g
닭갈비,820,21.00,70.00,51.00,1 serving
닭갈비,1310,63.00,111.00,68.00,1 serving
닭갈비구이,890,34.00,91.00,43.00,1 serving
닭갈비구이,239,0.00,27.30,13.60,101g
닭갈비구이,197,0.00,29.80,7.78,101g
닭강정,301,0.00,25.95,20.98,101g
닭강정,239,0.00,27.30,13.60,101g
닭강정,239,0.00,27.30,13.60,101g
닭고기,197,0.00,29.80,7.79,101g
닭고기,110,0.00,23.00,2.50,4 oz
닭고기,247,0.00,25.06,15.49,101g
닭고기볶음,197,0.00,29.80,7.79,101g
닭고기볶음,110,0.00,23.00,2.50,4 oz
닭고기볶음,247,0.00,25.06,15.49,101g
닭날개,290,0.00,26.86,19.46,101g
닭날개,220,0.00,17.00,17.00,4 wings
닭날개,160,2.00,16.00,10.00,5 wings
닭날개양념구이,301,0.00,25.95,20.98,101g
닭날개양념구이,239,0.00,27.30,13.60,101g
닭날개양념구이,239,0.00,27.30,13.60,101g
닭발,215,0.20,19.40,14.60,100g
닭발,190,4.00,15.00,13.00,1 serving
닭발,215,0.20,19.40,14.60,100g
닭살채소두반장볶음,2539,177.08,198.86,115.93,2280g
닭살채소두반장볶음,2569,89.35,239.84,139.38,2284g
닭살채소두반장볶음,2633,89.35,249.43,142.30,2284g
닭살채소볶음,200,20.00,11.00,9.00,1 bowl
닭살채소볶음,250,34.00,15.00,6.00,1 meal
닭살채소볶음,390,49.00,10.00,17.00,1 package
